2025-10-12 22:18:16, MOVE, v:1, k:poo@relogio, mode:DOWN
2025-10-12 22:18:54, MOVE, v:1, k:poo@relogio, mode:PICK
2025-10-12 22:47:22, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:63
2025-10-12 22:47:23, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0
2025-10-12 22:47:53, EXEC, v:1, k:poo@relogio, mode:FULL, rate:0, size:63
2025-10-12 22:48:23, EXEC, v:1, k:poo@relogio, mode:FULL, rate:7, size:63
2025-10-12 22:56:31, EXEC, v:1, k:poo@relogio, mode:FULL, rate:7, size:73
2025-10-12 22:57:29, EXEC, v:1, k:poo@relogio, mode:FULL, rate:30, size:73
2025-10-12 23:00:47, EXEC, v:1, k:poo@relogio, mode:FULL, rate:30, size:73
2025-10-12 23:04:18, EXEC, v:1, k:poo@relogio, mode:FULL, rate:7, size:73
2025-10-12 23:06:12, EXEC, v:1, k:poo@relogio, mode:FULL, rate:30, size:73
2025-10-12 23:06:50, EXEC, v:1, k:poo@relogio, mode:FULL, rate:38, size:73
2025-10-12 23:07:25, EXEC, v:1, k:poo@relogio, mode:FULL, rate:38, size:73
2025-10-12 23:07:40, EXEC, v:1, k:poo@relogio, mode:FULL, rate:46, size:73
2025-10-12 23:08:05, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:73
2025-10-12 23:09:28, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:11:11, EXEC, v:1, k:poo@relogio, mode:FULL, rate:53, size:75
2025-10-12 23:13:37, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:15:21, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:16:29, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:17:23, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:74
2025-10-12 23:18:28, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:76
2025-10-12 23:19:24, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:20:28, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:72
2025-10-12 23:21:52, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:23:15, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:74
2025-10-12 23:24:38, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:26:00, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:26:22, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:27:23, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:27:58, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:28:25, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:28:51, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:30:52, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:75
2025-10-12 23:31:44, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:76
2025-10-12 23:32:02, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:76
2025-10-12 23:32:34, EXEC, v:1, k:poo@relogio, mode:FULL, rate:61, size:76
2025-10-12 23:34:56, EXEC, v:1, k:poo@relogio, mode:FULL, rate:76, size:73
2025-10-12 23:35:56, EXEC, v:1, k:poo@relogio, mode:FULL, rate:69, size:73
2025-10-12 23:36:13, EXEC, v:1, k:poo@relogio, mode:FULL, rate:76, size:73
2025-10-12 23:40:11, EXEC, v:1, k:poo@relogio, mode:FULL, rate:76, size:80
2025-10-12 23:41:10, EXEC, v:1, k:poo@relogio, mode:FULL, rate:84, size:78
2025-10-12 23:46:01, EXEC, v:1, k:poo@relogio, mode:FULL, rate:76, size:85
2025-10-12 23:47:30, EXEC, v:1, k:poo@relogio, mode:FULL, rate:76, size:84
2025-10-12 23:48:48, EXEC, v:1, k:poo@relogio, mode:FULL, rate:84, size:81
2025-10-12 23:49:33, EXEC, v:1, k:poo@relogio, mode:FULL, rate:84, size:81
2025-10-12 23:52:12, EXEC, v:1, k:poo@relogio, mode:FULL, rate:46, size:82
2025-10-12 23:53:30, EXEC, v:1, k:poo@relogio, mode:FULL, rate:84, size:83
